UN_DENOMINACION,TIPO,CONTRATACION,NOMBRE_TS,INICIO,ACCION
3,1,7526,2,11-abr-16,NO GO
2,1,27658,9,31-ene-15,NO GO
2,1,18620,6,27-oct-11,NO GO
2,1,2658,10,08-jul-15,GO
2,1,9895,6,22-feb-13,GO
2,1,13678,10,01-ene-16,GO
2,1,1627,10,11-sep-14,GO
2,1,5668,6,30-sep-11,GO
3,1,58302,5,29-feb-16,GO
2,1,5134,6,30-sep-11,GO
0,0,511289,5,31-ago-14,GO
2,1,178272,10,04-jul-13,GO
4,1,317928,7,31-may-14,GO
2,1,13303,10,30-nov-12,GO
2,1,38516,9,01-ene-16,GO
4,1,296541,1,31-may-14,GO
4,1,30534,3,16-may-13,NO GO
3,1,3626,6,10-mar-11,NO GO
0,0,12346,10,01-ago-11,NO GO
2,1,75829,10,31-mar-15,GO
2,1,4544,9,23-mar-15,GO
2,1,149755,10,31-oct-13,GO
2,1,2142,11,19-abr-12,GO
4,1,17500,10,18-jun-14,GO
4,1,4191,6,01-ene-11,NO GO
2,1,34192,9,01-mar-16,GO
2,1,17967,9,30-oct-11,GO
2,1,20979,10,25-nov-14,GO
2,1,12911,10,01-jul-16,GO
2,1,80941,10,31-ene-16,GO
2,1,8041,10,14-dic-15,GO
2,1,21796,9,15-ene-13,GO
2,1,13477,10,01-jun-13,GO
4,1,1884,5,15-abr-13,GO
3,1,26059,10,29-may-14,NO GO
2,1,2118,9,20-mar-15,NO GO
3,1,739,2,29-jun-12,NO GO
3,1,2988,7,31-ene-16,GO
2,1,43332,9,31-ene-15,GO
2,1,43332,9,01-ene-16,GO
3,1,54255,6,28-ene-11,GO
2,1,69191,10,01-ago-14,GO
2,1,12743,10,07-mar-16,GO
4,1,17714,1,20-may-14,GO
0,0,40254,10,31-dic-15,GO
4,1,5976,2,21-nov-16,GO
2,1,27093,9,01-jun-13,GO
3,1,14805,10,25-jun-14,NO GO
2,1,6313,6,18-abr-11,NO GO
2,1,2025,9,01-ene-14,GO
4,1,21900,5,01-abr-16,GO
