Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,res1H,res1A,res5H,res5A,res20H,res20A,HomeWin,ScoreDraw
E1,2000/08/26,Bolton,Preston,2,0,H,1,0,H,12.0,12.0,9.0,5.0,10.0,13.0,3.0,8.0,0.0,0.0,0.0,0.0,1,1,1.0,0.6000000000000001,0.45,0.45,1,0
E1,2000/08/26,Fulham,Stockport,4,1,H,1,1,D,27.0,3.0,8.0,1.0,8.0,15.0,8.0,1.0,2.0,5.0,0.0,2.0,1,0,0.0,0.0,0.2,-0.4,1,0
E1,2000/08/26,Grimsby,Sheffield Weds,0,1,A,0,1,A,9.0,16.0,2.0,4.0,14.0,12.0,3.0,3.0,0.0,2.0,0.0,0.0,0,-1,-0.4,-0.4,-0.2,-0.35000000000000003,0,0
E1,2000/08/26,Huddersfield,Crystal Palace,1,2,A,1,1,D,16.0,7.0,7.0,2.0,16.0,13.0,10.0,4.0,1.0,2.0,0.0,0.0,1,0,-0.2,0.0,0.15,-0.25,0,0
E1,2000/08/26,Nott'm Forest,Birmingham,1,2,A,0,2,A,9.0,15.0,3.0,3.0,8.0,5.0,12.0,3.0,2.0,1.0,0.0,0.0,0,-1,0.4,0.0,0.1,0.4,0,0
E1,2000/08/26,QPR,Crewe,1,0,H,1,0,H,13.0,17.0,4.0,5.0,9.0,10.0,3.0,6.0,3.0,2.0,0.0,0.0,0,0,0.4,0.2,0.0,-0.25,1,0
E1,2000/08/26,Sheffield United,Tranmere,2,0,H,1,0,H,15.0,4.0,10.0,2.0,10.0,10.0,7.0,3.0,1.0,4.0,0.0,0.0,-1,1,-0.4,0.0,-0.1,0.0,1,0
E1,2000/08/26,Wimbledon,Watford,0,0,D,0,0,D,13.0,14.0,5.0,4.0,10.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0,-1,1,-0.8,0.0,-0.75,-0.3,0,0
E1,2000/08/26,Wolves,Burnley,1,0,H,0,0,D,17.0,9.0,4.0,1.0,15.0,17.0,9.0,3.0,0.0,3.0,0.0,0.0,0,1,0.4,1.0,0.35000000000000003,0.3,1,0
E1,2000/08/28,Birmingham,Barnsley,4,1,H,2,0,H,14.0,10.0,11.0,5.0,7.0,13.0,3.0,2.0,0.0,4.0,0.0,1.0,1,1,0.2,0.6000000000000001,0.35000000000000003,0.35000000000000003,1,0
E1,2000/08/28,Burnley,Gillingham,1,1,D,0,0,D,8.0,5.0,3.0,1.0,14.0,12.0,5.0,3.0,2.0,3.0,0.0,0.0,-1,0,0.4,0.0,0.45,0.35000000000000003,0,1
E1,2000/08/28,Crystal Palace,Nott'm Forest,2,3,A,0,3,A,8.0,8.0,7.0,6.0,6.0,18.0,8.0,0.0,3.0,4.0,0.0,1.0,1,-1,0.2,0.4,-0.05,-0.1,0,0
E1,2000/08/28,Norwich,Fulham,0,1,A,0,0,D,14.0,16.0,4.0,6.0,18.0,19.0,8.0,2.0,5.0,4.0,0.0,0.0,-1,1,-0.6000000000000001,0.4,-0.45,0.0,0,0
E1,2000/08/28,Portsmouth,Wolves,3,1,H,3,1,H,15.0,10.0,10.0,5.0,14.0,13.0,3.0,7.0,0.0,1.0,0.0,0.0,0,1,-0.6000000000000001,0.4,0.0,0.35000000000000003,1,0
E1,2000/08/28,Preston,Wimbledon,1,1,D,0,1,A,13.0,10.0,8.0,4.0,6.0,11.0,8.0,4.0,1.0,3.0,0.0,0.0,-1,0,0.2,-0.4,0.3,-0.5,0,1
E1,2000/08/28,Sheffield Weds,Blackburn,1,1,D,1,1,D,14.0,14.0,7.0,10.0,15.0,20.0,9.0,7.0,2.0,2.0,0.0,0.0,1,1,0.2,0.0,-0.1,0.0,0,1
E1,2000/08/28,Stockport,Huddersfield,0,0,D,0,0,D,10.0,16.0,3.0,8.0,11.0,14.0,12.0,9.0,1.0,3.0,0.0,0.0,-1,-1,0.2,-0.6000000000000001,-0.35000000000000003,-0.1,0,0
E1,2000/08/28,Tranmere,Bolton,0,1,A,0,0,D,12.0,6.0,6.0,2.0,18.0,27.0,4.0,1.0,2.0,1.0,1.0,0.0,-1,1,-0.2,0.8,-0.2,0.45,0,0
E1,2000/08/28,Watford,Sheffield United,4,1,H,2,1,H,11.0,7.0,5.0,1.0,8.0,6.0,3.0,6.0,1.0,4.0,0.0,0.0,0,1,0.2,0.2,-0.35000000000000003,-0.1,1,0
E1,2000/08/28,West Brom,QPR,2,1,H,0,1,A,15.0,6.0,8.0,1.0,10.0,12.0,7.0,2.0,2.0,4.0,0.0,0.0,-1,1,0.0,0.4,-0.25,0.1,1,0
E1,2000/08/29,Crewe,Grimsby,2,0,H,1,0,H,16.0,17.0,5.0,1.0,7.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,-1,-1,-0.4,-0.8,-0.2,-0.15,1,0
E1,2000/09/01,Tranmere,Stockport,2,1,H,2,1,H,15.0,10.0,7.0,4.0,11.0,15.0,7.0,2.0,1.0,0.0,0.0,0.0,-1,0,0.0,0.2,-0.15,-0.3,1,0
E1,2000/09/02,Gillingham,Wolves,1,0,H,1,0,H,12.0,9.0,6.0,5.0,17.0,20.0,9.0,4.0,1.0,3.0,0.0,0.0,0,-1,-0.4,-0.2,0.25,-0.05,1,0
E1,2000/09/02,Preston,Portsmouth,1,0,H,0,0,D,11.0,9.0,5.0,6.0,10.0,15.0,3.0,2.0,0.0,1.0,0.0,0.0,0,1,0.8,-0.4,0.45,0.15,1,0
E1,2000/09/03,West Brom,Crystal Palace,1,0,H,1,0,H,12.0,10.0,5.0,3.0,17.0,17.0,4.0,8.0,0.0,1.0,0.0,0.0,1,-1,0.0,0.0,-0.15,-0.25,1,0
E1,2000/09/09,Birmingham,Sheffield United,1,0,H,1,0,H,11.0,9.0,8.0,4.0,11.0,13.0,7.0,0.0,1.0,3.0,0.0,1.0,1,-1,-0.2,-0.4,0.45,-0.1,1,0
E1,2000/09/09,Blackburn,Nott'm Forest,3,0,H,2,0,H,15.0,12.0,7.0,4.0,16.0,10.0,8.0,8.0,0.0,2.0,0.0,0.0,0,1,-0.2,0.8,-0.05,0.3,1,0
E1,2000/09/09,Crewe,Norwich,0,0,D,0,0,D,10.0,8.0,8.0,1.0,6.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,1,-1,0.0,-0.4,-0.15,-0.25,0,0
E1,2000/09/09,Crystal Palace,Burnley,0,1,A,0,0,D,18.0,5.0,5.0,2.0,7.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,-1,0,0.0,0.6000000000000001,-0.15,0.55,0,0
E1,2000/09/09,Grimsby,Gillingham,1,0,H,1,0,H,9.0,10.0,2.0,5.0,12.0,12.0,2.0,9.0,2.0,1.0,0.0,0.0,-1,1,-0.6000000000000001,-0.4,-0.4,0.25,1,0
E1,2000/09/09,Huddersfield,Bolton,2,3,A,0,0,D,17.0,12.0,10.0,6.0,12.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0,1,-0.4,0.8,0.1,0.5,0,0
E1,2000/09/09,Portsmouth,Watford,1,3,A,0,2,A,14.0,10.0,7.0,5.0,14.0,14.0,8.0,4.0,1.0,2.0,0.0,0.0,-1,1,-0.6000000000000001,0.8,-0.3,-0.4,0,0
E1,2000/09/09,QPR,Preston,0,0,D,0,0,D,12.0,11.0,6.0,4.0,14.0,13.0,10.0,3.0,1.0,1.0,0.0,0.0,-1,1,0.0,0.6000000000000001,0.1,0.5,0,0
E1,2000/09/09,Sheffield Weds,Wimbledon,0,5,A,0,0,D,10.0,15.0,6.0,10.0,9.0,10.0,7.0,5.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.4,-0.15,-0.45,0,0
E1,2000/09/09,Stockport,West Brom,0,0,D,0,0,D,13.0,20.0,4.0,7.0,12.0,14.0,4.0,7.0,2.0,4.0,0.0,0.0,-1,1,-0.4,-0.2,-0.45,-0.15,0,0
E1,2000/09/09,Wolves,Tranmere,1,2,A,1,1,D,11.0,5.0,5.0,5.0,16.0,17.0,7.0,4.0,2.0,2.0,1.0,0.0,-1,1,0.2,0.0,0.1,0.1,0,0
E1,2000/09/10,Fulham,Barnsley,5,1,H,3,0,H,19.0,6.0,11.0,3.0,7.0,15.0,10.0,2.0,1.0,5.0,0.0,1.0,1,-1,0.6000000000000001,-0.2,0.35000000000000003,0.15,1,0
E1,2000/09/12,Birmingham,Preston,3,1,H,0,1,A,17.0,7.0,6.0,4.0,16.0,13.0,5.0,2.0,0.0,1.0,0.0,0.0,1,0,0.2,0.2,0.3,0.25,1,0
E1,2000/09/12,Blackburn,Watford,3,4,A,2,3,A,20.0,9.0,9.0,6.0,17.0,16.0,8.0,4.0,1.0,3.0,0.0,0.0,1,1,0.4,0.8,0.15,-0.2,0,0
E1,2000/09/12,Crewe,West Brom,0,1,A,0,1,A,8.0,11.0,4.0,5.0,7.0,6.0,2.0,4.0,1.0,2.0,0.0,0.0,0,0,-0.2,-0.4,-0.2,-0.2,0,0
E1,2000/09/12,Crystal Palace,Barnsley,1,0,H,1,0,H,13.0,6.0,5.0,2.0,11.0,11.0,7.0,2.0,1.0,1.0,0.0,0.0,-1,-1,-0.4,-0.2,-0.15,0.05,1,0
E1,2000/09/12,Fulham,Burnley,3,1,H,0,1,A,17.0,3.0,11.0,2.0,12.0,19.0,6.0,3.0,0.0,3.0,0.0,1.0,1,1,1.0,0.4,0.35000000000000003,0.3,1,0
E1,2000/09/12,Grimsby,Bolton,0,1,A,0,0,D,12.0,10.0,4.0,6.0,11.0,11.0,12.0,7.0,1.0,0.0,0.0,0.0,1,1,-0.2,0.8,-0.05,0.4,0,0
E1,2000/09/12,Huddersfield,Wimbledon,0,2,A,0,1,A,11.0,9.0,5.0,6.0,10.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,-1,1,-0.6000000000000001,-0.2,-0.3,-0.55,0,0
E1,2000/09/12,Portsmouth,Tranmere,2,0,H,0,0,D,17.0,7.0,7.0,1.0,10.0,12.0,8.0,3.0,0.0,2.0,0.0,1.0,-1,1,-0.2,0.0,0.15,-0.2,1,0
E1,2000/09/12,Stockport,Norwich,1,3,A,0,2,A,11.0,10.0,6.0,8.0,10.0,13.0,10.0,3.0,1.0,2.0,0.0,0.0,0,0,0.0,-0.6000000000000001,-0.35000000000000003,-0.15,0,0
E1,2000/09/12,Wolves,Sheffield United,0,0,D,0,0,D,13.0,13.0,5.0,6.0,7.0,5.0,5.0,9.0,1.0,4.0,0.0,0.0,-1,-1,-0.2,0.0,0.35000000000000003,-0.1,0,0
E1,2000/09/13,QPR,Gillingham,2,2,D,0,0,D,18.0,7.0,8.0,2.0,16.0,8.0,3.0,6.0,2.0,1.0,1.0,0.0,0,-1,0.4,-0.6000000000000001,0.2,-0.05,0,1
E1,2000/09/13,Sheffield Weds,Nott'm Forest,0,1,A,0,1,A,7.0,14.0,2.0,6.0,8.0,9.0,5.0,9.0,1.0,1.0,0.0,0.0,-1,-1,0.0,0.0,-0.05,0.1,0,0
E1,2000/09/15,Sheffield United,Blackburn,2,0,H,2,0,H,15.0,12.0,4.0,7.0,12.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0,-1,0.0,0.2,0.0,-0.05,1,0
E1,2000/09/16,Barnsley,QPR,4,2,H,3,0,H,15.0,7.0,11.0,6.0,9.0,10.0,7.0,5.0,1.0,3.0,0.0,0.0,-1,0,-0.2,0.0,0.1,0.25,1,0
E1,2000/09/16,Bolton,Portsmouth,2,0,H,1,0,H,16.0,7.0,7.0,1.0,9.0,12.0,2.0,9.0,0.0,2.0,0.0,0.0,1,1,0.8,0.2,0.6,0.0,1,0
E1,2000/09/16,Burnley,Grimsby,1,1,D,1,1,D,21.0,12.0,8.0,4.0,15.0,16.0,5.0,2.0,1.0,1.0,0.0,0.0,-1,-1,-0.2,-0.8,0.3,-0.5,0,1
E1,2000/09/16,Gillingham,Huddersfield,2,1,H,0,1,A,14.0,8.0,4.0,2.0,11.0,16.0,5.0,7.0,1.0,2.0,0.0,0.0,0,-1,0.0,-0.4,0.3,0.05,1,0
E1,2000/09/16,Norwich,Crystal Palace,0,0,D,0,0,D,7.0,7.0,3.0,3.0,12.0,17.0,7.0,4.0,1.0,0.0,0.0,0.0,1,1,-0.4,0.0,-0.35000000000000003,-0.25,0,0
E1,2000/09/16,Nott'm Forest,Fulham,0,3,A,0,0,D,13.0,16.0,7.0,8.0,12.0,8.0,3.0,3.0,3.0,1.0,0.0,0.0,1,1,0.4,1.0,0.1,0.15,0,0
E1,2000/09/16,Preston,Stockport,1,1,D,1,1,D,13.0,10.0,4.0,5.0,10.0,14.0,4.0,6.0,2.0,3.0,0.0,1.0,-1,-1,0.0,-0.6000000000000001,0.3,-0.35000000000000003,0,1
E1,2000/09/16,Tranmere,Sheffield Weds,2,0,H,1,0,H,12.0,12.0,7.0,4.0,21.0,18.0,5.0,4.0,1.0,2.0,0.0,0.0,-1,-1,-0.2,-0.2,0.05,-0.25,1,0
E1,2000/09/16,Watford,Crewe,3,0,H,1,0,H,20.0,12.0,13.0,8.0,11.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,1,-1,0.8,-0.4,-0.25,-0.1,1,0
E1,2000/09/16,Wimbledon,Wolves,1,1,D,0,0,D,9.0,12.0,4.0,5.0,12.0,11.0,6.0,9.0,2.0,0.0,0.0,0.0,1,0,0.0,-0.2,-0.4,0.0,0,1
E1,2000/09/17,West Brom,Birmingham,1,1,D,1,0,H,4.0,7.0,5.0,5.0,13.0,17.0,6.0,4.0,0.0,2.0,0.0,0.0,1,1,0.2,0.4,-0.3,0.25,0,1
E1,2000/09/23,Birmingham,Tranmere,2,0,H,0,0,D,23.0,7.0,17.0,3.0,15.0,9.0,8.0,8.0,2.0,2.0,0.0,0.0,0,1,0.4,0.2,0.35000000000000003,0.0,1,0
E1,2000/09/23,Blackburn,Bolton,1,1,D,1,0,H,9.0,9.0,3.0,3.0,20.0,16.0,3.0,5.0,3.0,3.0,0.0,0.0,-1,1,0.2,1.0,0.2,0.55,0,1
E1,2000/09/23,Crewe,Barnsley,2,2,D,1,0,H,13.0,17.0,6.0,8.0,5.0,8.0,6.0,2.0,1.0,0.0,0.0,0.0,-1,1,-0.2,-0.2,-0.15,0.15,0,1
